escenario,clasificador,n_muestra,n_total,replica,riesgo_verdadero,riesgo_cv_mean,riesgo_cv_std,brecha_bayes
Balanceado_MismaCov,Bayes,50,100,0,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,0,,0.28,0.0678232998312527,0.035300000000000026
Balanceado_MismaCov,LDA,50,100,0,,0.29000000000000004,0.06633249580710802,0.045300000000000035
Balanceado_MismaCov,QDA,50,100,0,,0.26999999999999996,0.05099019513592786,0.02529999999999996
Balanceado_MismaCov,KNN-1,50,100,0,,0.39,0.13564659966250536,0.1453
Balanceado_MismaCov,KNN-5,50,100,0,,0.35,0.1140175425099138,0.10529999999999998
Balanceado_MismaCov,KNN-21,50,100,0,,0.25999999999999995,0.10198039027185568,0.015299999999999953
Balanceado_MismaCov,GB,50,100,0,,0.26999999999999996,0.060000000000000026,0.02529999999999996
Balanceado_MismaCov,Bayes,50,100,1,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,1,,0.26,0.08602325267042628,0.015300000000000008
Balanceado_MismaCov,LDA,50,100,1,,0.27,0.10295630140987,0.025300000000000017
Balanceado_MismaCov,QDA,50,100,1,,0.27999999999999997,0.0678232998312527,0.03529999999999997
Balanceado_MismaCov,KNN-1,50,100,1,,0.32,0.05099019513592784,0.0753
Balanceado_MismaCov,KNN-5,50,100,1,,0.30999999999999994,0.12409673645990857,0.06529999999999994
Balanceado_MismaCov,KNN-21,50,100,1,,0.24000000000000005,0.05830951894845302,-0.004699999999999954
Balanceado_MismaCov,GB,50,100,1,,0.23000000000000004,0.0678232998312527,-0.014699999999999963
Balanceado_MismaCov,Bayes,50,100,2,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,2,,0.22999999999999998,0.10295630140987,-0.014700000000000019
Balanceado_MismaCov,LDA,50,100,2,,0.21000000000000002,0.09695359714832658,-0.03469999999999998
Balanceado_MismaCov,QDA,50,100,2,,0.22000000000000003,0.11661903789690599,-0.024699999999999972
Balanceado_MismaCov,KNN-1,50,100,2,,0.32999999999999996,0.05099019513592784,0.08529999999999996
Balanceado_MismaCov,KNN-5,50,100,2,,0.25,0.08366600265340757,0.005299999999999999
Balanceado_MismaCov,KNN-21,50,100,2,,0.24,0.10198039027185568,-0.00470000000000001
Balanceado_MismaCov,GB,50,100,2,,0.24,0.10198039027185568,-0.00470000000000001
Balanceado_MismaCov,Bayes,50,100,3,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,3,,0.27,0.040000000000000036,0.025300000000000017
Balanceado_MismaCov,LDA,50,100,3,,0.26000000000000006,0.058309518948453015,0.015300000000000064
Balanceado_MismaCov,QDA,50,100,3,,0.27,0.040000000000000036,0.025300000000000017
Balanceado_MismaCov,KNN-1,50,100,3,,0.34,0.11575836902790228,0.09530000000000002
Balanceado_MismaCov,KNN-5,50,100,3,,0.25999999999999995,0.07348469228349534,0.015299999999999953
Balanceado_MismaCov,KNN-21,50,100,3,,0.26,0.058309518948453015,0.015300000000000008
Balanceado_MismaCov,GB,50,100,3,,0.26,0.03741657386773945,0.015300000000000008
Balanceado_MismaCov,Bayes,50,100,4,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,4,,0.32,0.10295630140986999,0.0753
Balanceado_MismaCov,LDA,50,100,4,,0.32,0.10295630140986999,0.0753
Balanceado_MismaCov,QDA,50,100,4,,0.32,0.10295630140986999,0.0753
Balanceado_MismaCov,KNN-1,50,100,4,,0.36000000000000004,0.03741657386773941,0.11530000000000004
Balanceado_MismaCov,KNN-5,50,100,4,,0.33,0.08717797887081347,0.08530000000000001
Balanceado_MismaCov,KNN-21,50,100,4,,0.32,0.09273618495495704,0.0753
Balanceado_MismaCov,GB,50,100,4,,0.27,0.08124038404635961,0.025300000000000017
Balanceado_MismaCov,Bayes,50,100,5,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,5,,0.22999999999999998,0.0871779788708135,-0.014700000000000019
Balanceado_MismaCov,LDA,50,100,5,,0.27999999999999997,0.10295630140987001,0.03529999999999997
Balanceado_MismaCov,QDA,50,100,5,,0.22999999999999998,0.0871779788708135,-0.014700000000000019
Balanceado_MismaCov,KNN-1,50,100,5,,0.39,0.11575836902790228,0.1453
Balanceado_MismaCov,KNN-5,50,100,5,,0.25,0.044721359549995836,0.005299999999999999
Balanceado_MismaCov,KNN-21,50,100,5,,0.28,0.11224972160321822,0.035300000000000026
Balanceado_MismaCov,GB,50,100,5,,0.22999999999999998,0.07483314773547886,-0.014700000000000019
Balanceado_MismaCov,Bayes,50,100,6,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,6,,0.26,0.11575836902790228,0.015300000000000008
Balanceado_MismaCov,LDA,50,100,6,,0.25999999999999995,0.11135528725660043,0.015299999999999953
Balanceado_MismaCov,QDA,50,100,6,,0.3,0.10488088481701517,0.05529999999999999
Balanceado_MismaCov,KNN-1,50,100,6,,0.32,0.10770329614269006,0.0753
Balanceado_MismaCov,KNN-5,50,100,6,,0.37,0.06782329983125268,0.1253
Balanceado_MismaCov,KNN-21,50,100,6,,0.3,0.09486832980505139,0.05529999999999999
Balanceado_MismaCov,GB,50,100,6,,0.25,0.1095445115010332,0.005299999999999999
Balanceado_MismaCov,Bayes,50,100,7,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,7,,0.25,0.07745966692414837,0.005299999999999999
Balanceado_MismaCov,LDA,50,100,7,,0.22999999999999998,0.07483314773547886,-0.014700000000000019
Balanceado_MismaCov,QDA,50,100,7,,0.24000000000000005,0.04898979485566357,-0.004699999999999954
Balanceado_MismaCov,KNN-1,50,100,7,,0.39999999999999997,0.07071067811865474,0.15529999999999997
Balanceado_MismaCov,KNN-5,50,100,7,,0.25999999999999995,0.07999999999999999,0.015299999999999953
Balanceado_MismaCov,KNN-21,50,100,7,,0.2,0.07071067811865477,-0.04469999999999999
Balanceado_MismaCov,GB,50,100,7,,0.2,0.08944271909999162,-0.04469999999999999
Balanceado_MismaCov,Bayes,50,100,8,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,8,,0.27999999999999997,0.12884098726725127,0.03529999999999997
Balanceado_MismaCov,LDA,50,100,8,,0.27999999999999997,0.10295630140987001,0.03529999999999997
Balanceado_MismaCov,QDA,50,100,8,,0.24000000000000005,0.11575836902790225,-0.004699999999999954
Balanceado_MismaCov,KNN-1,50,100,8,,0.42000000000000004,0.06782329983125265,0.17530000000000004
Balanceado_MismaCov,KNN-5,50,100,8,,0.28,0.0678232998312527,0.035300000000000026
Balanceado_MismaCov,KNN-21,50,100,8,,0.27999999999999997,0.11224972160321826,0.03529999999999997
Balanceado_MismaCov,GB,50,100,8,,0.27,0.11224972160321824,0.025300000000000017
Balanceado_MismaCov,Bayes,50,100,9,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,9,,0.22999999999999998,0.06000000000000002,-0.014700000000000019
Balanceado_MismaCov,LDA,50,100,9,,0.22000000000000003,0.0678232998312527,-0.024699999999999972
Balanceado_MismaCov,QDA,50,100,9,,0.22999999999999998,0.0812403840463596,-0.014700000000000019
Balanceado_MismaCov,KNN-1,50,100,9,,0.35,0.11401754250991382,0.10529999999999998
Balanceado_MismaCov,KNN-5,50,100,9,,0.35,0.07071067811865474,0.10529999999999998
Balanceado_MismaCov,KNN-21,50,100,9,,0.22000000000000003,0.07483314773547882,-0.024699999999999972
Balanceado_MismaCov,GB,50,100,9,,0.25,0.0894427190999916,0.005299999999999999
Balanceado_MismaCov,Bayes,50,100,10,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,10,,0.19,0.06633249580710802,-0.0547
Balanceado_MismaCov,LDA,50,100,10,,0.20999999999999996,0.06633249580710802,-0.034700000000000036
Balanceado_MismaCov,QDA,50,100,10,,0.21000000000000002,0.08000000000000003,-0.03469999999999998
Balanceado_MismaCov,KNN-1,50,100,10,,0.29000000000000004,0.08602325267042626,0.045300000000000035
Balanceado_MismaCov,KNN-5,50,100,10,,0.21000000000000002,0.07348469228349536,-0.03469999999999998
Balanceado_MismaCov,KNN-21,50,100,10,,0.22999999999999998,0.08124038404635961,-0.014700000000000019
Balanceado_MismaCov,GB,50,100,10,,0.18,0.0678232998312527,-0.06470000000000001
Balanceado_MismaCov,Bayes,50,100,11,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,11,,0.3,0.07071067811865477,0.05529999999999999
Balanceado_MismaCov,LDA,50,100,11,,0.29,0.08000000000000003,0.04529999999999998
Balanceado_MismaCov,QDA,50,100,11,,0.3,0.07071067811865477,0.05529999999999999
Balanceado_MismaCov,KNN-1,50,100,11,,0.45999999999999996,0.07348469228349536,0.21529999999999996
Balanceado_MismaCov,KNN-5,50,100,11,,0.33999999999999997,0.09695359714832659,0.09529999999999997
Balanceado_MismaCov,KNN-21,50,100,11,,0.30000000000000004,0.05477225575051661,0.055300000000000044
Balanceado_MismaCov,GB,50,100,11,,0.29,0.06633249580710802,0.04529999999999998
Balanceado_MismaCov,Bayes,50,100,12,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,12,,0.29,0.10677078252031309,0.04529999999999998
Balanceado_MismaCov,LDA,50,100,12,,0.26999999999999996,0.11661903789690602,0.02529999999999996
Balanceado_MismaCov,QDA,50,100,12,,0.26999999999999996,0.11661903789690602,0.02529999999999996
Balanceado_MismaCov,KNN-1,50,100,12,,0.32999999999999996,0.09273618495495704,0.08529999999999996
Balanceado_MismaCov,KNN-5,50,100,12,,0.36,0.05830951894845298,0.11529999999999999
Balanceado_MismaCov,KNN-21,50,100,12,,0.33999999999999997,0.08602325267042626,0.09529999999999997
Balanceado_MismaCov,GB,50,100,12,,0.27,0.10295630140986999,0.025300000000000017
Balanceado_MismaCov,Bayes,50,100,13,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,13,,0.28,0.05099019513592786,0.035300000000000026
Balanceado_MismaCov,LDA,50,100,13,,0.29,0.03741657386773941,0.04529999999999998
Balanceado_MismaCov,QDA,50,100,13,,0.26,0.037416573867739444,0.015300000000000008
Balanceado_MismaCov,KNN-1,50,100,13,,0.37,0.07483314773547882,0.1253
Balanceado_MismaCov,KNN-5,50,100,13,,0.33999999999999997,0.06633249580710797,0.09529999999999997
Balanceado_MismaCov,KNN-21,50,100,13,,0.26999999999999996,0.050990195135927854,0.02529999999999996
Balanceado_MismaCov,GB,50,100,13,,0.25,0.08366600265340757,0.005299999999999999
Balanceado_MismaCov,Bayes,50,100,14,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,14,,0.26,0.020000000000000018,0.015300000000000008
Balanceado_MismaCov,LDA,50,100,14,,0.28,0.039999999999999994,0.035300000000000026
Balanceado_MismaCov,QDA,50,100,14,,0.27,0.024494897427831803,0.025300000000000017
Balanceado_MismaCov,KNN-1,50,100,14,,0.35,0.07071067811865474,0.10529999999999998
Balanceado_MismaCov,KNN-5,50,100,14,,0.3,0.09486832980505136,0.05529999999999999
Balanceado_MismaCov,KNN-21,50,100,14,,0.25,0.03162277660168382,0.005299999999999999
Balanceado_MismaCov,GB,50,100,14,,0.28,0.05099019513592786,0.035300000000000026
Balanceado_MismaCov,Bayes,50,100,15,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,15,,0.27,0.050990195135927854,0.025300000000000017
Balanceado_MismaCov,LDA,50,100,15,,0.27,0.024494897427831803,0.025300000000000017
Balanceado_MismaCov,QDA,50,100,15,,0.27999999999999997,0.039999999999999994,0.03529999999999997
Balanceado_MismaCov,KNN-1,50,100,15,,0.38999999999999996,0.08602325267042628,0.14529999999999996
Balanceado_MismaCov,KNN-5,50,100,15,,0.34,0.05830951894845301,0.09530000000000002
Balanceado_MismaCov,KNN-21,50,100,15,,0.26999999999999996,0.0678232998312527,0.02529999999999996
Balanceado_MismaCov,GB,50,100,15,,0.25,0.05477225575051661,0.005299999999999999
Balanceado_MismaCov,Bayes,50,100,16,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,16,,0.15,0.10488088481701514,-0.0947
Balanceado_MismaCov,LDA,50,100,16,,0.15000000000000002,0.1095445115010332,-0.09469999999999998
Balanceado_MismaCov,QDA,50,100,16,,0.14,0.11135528725660043,-0.10469999999999999
Balanceado_MismaCov,KNN-1,50,100,16,,0.20999999999999996,0.04898979485566358,-0.034700000000000036
Balanceado_MismaCov,KNN-5,50,100,16,,0.17,0.09797958971132709,-0.07469999999999999
Balanceado_MismaCov,KNN-21,50,100,16,,0.16,0.1019803902718557,-0.0847
Balanceado_MismaCov,GB,50,100,16,,0.13999999999999999,0.11575836902790225,-0.10470000000000002
Balanceado_MismaCov,Bayes,50,100,17,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,50,100,17,,0.24,0.066332495807108,-0.00470000000000001
Balanceado_MismaCov,LDA,50,100,17,,0.22999999999999998,0.06782329983125268,-0.014700000000000019
Balanceado_MismaCov,QDA,50,100,17,,0.24999999999999994,0.05477225575051662,0.005299999999999944
Balanceado_MismaCov,KNN-1,50,100,17,,0.39,0.13564659966250536,0.1453
Balanceado_MismaCov,KNN-5,50,100,17,,0.29999999999999993,0.10488088481701516,0.05529999999999993
