,,riesgo_cv_mean,riesgo_cv_mean,brecha_bayes,brecha_bayes
,,mean,std,mean,std
escenario,clasificador,,,,
Balanceado_DistintaCov,Bayes,0.2657,0.0,0.0,0.0
Balanceado_DistintaCov,GB,0.2756,0.0251,0.0099,0.0251
Balanceado_DistintaCov,GNB,0.2864,0.03,0.0207,0.03
Balanceado_DistintaCov,KNN-1,0.3493,0.0362,0.0836,0.0362
Balanceado_DistintaCov,KNN-21,0.2996,0.0337,0.0339,0.0337
Balanceado_DistintaCov,KNN-5,0.3179,0.0361,0.0522,0.0361
Balanceado_DistintaCov,LDA,0.2869,0.029,0.0212,0.029
Balanceado_DistintaCov,QDA,0.2877,0.0306,0.022,0.0306
Balanceado_MismaCov,Bayes,0.243,0.0,0.0,0.0
Balanceado_MismaCov,GB,0.2392,0.0342,-0.0038,0.0342
Balanceado_MismaCov,GNB,0.2452,0.0336,0.0022,0.0336
Balanceado_MismaCov,KNN-1,0.3332,0.0482,0.0902,0.0482
Balanceado_MismaCov,KNN-21,0.2546,0.0375,0.0116,0.0375
Balanceado_MismaCov,KNN-5,0.2821,0.0514,0.0391,0.0514
Balanceado_MismaCov,LDA,0.2433,0.0343,0.0003,0.0343
Balanceado_MismaCov,QDA,0.2445,0.0334,0.0015,0.0334
Desbalanceado_DistintaCov,Bayes,0.3533,0.0,0.0,0.0
Desbalanceado_DistintaCov,GB,0.1608,0.0118,-0.1925,0.0118
Desbalanceado_DistintaCov,GNB,0.1623,0.0119,-0.191,0.0119
Desbalanceado_DistintaCov,KNN-1,0.2381,0.0213,-0.1151,0.0213
Desbalanceado_DistintaCov,KNN-21,0.1687,0.0138,-0.1846,0.0138
Desbalanceado_DistintaCov,KNN-5,0.1838,0.016,-0.1695,0.016
Desbalanceado_DistintaCov,LDA,0.1708,0.0127,-0.1825,0.0127
Desbalanceado_DistintaCov,QDA,0.1625,0.0111,-0.1908,0.0111
Desbalanceado_MismaCov,Bayes,0.3248,0.0,0.0,0.0
Desbalanceado_MismaCov,GB,0.1605,0.0155,-0.1643,0.0155
Desbalanceado_MismaCov,GNB,0.1605,0.0156,-0.1643,0.0156
Desbalanceado_MismaCov,KNN-1,0.2285,0.0243,-0.0963,0.0243
Desbalanceado_MismaCov,KNN-21,0.1653,0.0145,-0.1595,0.0145
Desbalanceado_MismaCov,KNN-5,0.1795,0.0229,-0.1453,0.0229
Desbalanceado_MismaCov,LDA,0.1603,0.015,-0.1645,0.015
Desbalanceado_MismaCov,QDA,0.1603,0.0149,-0.1645,0.0149
