,,,riesgo_cv_mean,riesgo_cv_mean,brecha_bayes,brecha_bayes
,,,mean,std,mean,std
escenario,clasificador,n_total,,,,
Balanceado_DistintaCov,Bayes,100,0.2657,0.0,0.0,0.0
Balanceado_DistintaCov,Bayes,200,0.2657,0.0,0.0,0.0
Balanceado_DistintaCov,Bayes,400,0.2657,0.0,0.0,0.0
Balanceado_DistintaCov,Bayes,1000,0.2657,0.0,0.0,0.0
Balanceado_DistintaCov,GB,100,0.2775,0.0361,0.0118,0.0361
Balanceado_DistintaCov,GB,200,0.2722,0.0212,0.0066,0.0212
Balanceado_DistintaCov,GB,400,0.2746,0.0254,0.0089,0.0254
Balanceado_DistintaCov,GB,1000,0.278,0.0138,0.0123,0.0138
Balanceado_DistintaCov,GNB,100,0.304,0.042,0.0383,0.042
Balanceado_DistintaCov,GNB,200,0.283,0.0279,0.0173,0.0279
Balanceado_DistintaCov,GNB,400,0.277,0.0236,0.0113,0.0236
Balanceado_DistintaCov,GNB,1000,0.2818,0.0138,0.0161,0.0138
Balanceado_DistintaCov,KNN-1,100,0.3645,0.0432,0.0988,0.0432
Balanceado_DistintaCov,KNN-1,200,0.339,0.0412,0.0733,0.0412
Balanceado_DistintaCov,KNN-1,400,0.3426,0.0334,0.0769,0.0334
Balanceado_DistintaCov,KNN-1,1000,0.3511,0.0193,0.0854,0.0193
Balanceado_DistintaCov,KNN-21,100,0.3195,0.0475,0.0538,0.0475
Balanceado_DistintaCov,KNN-21,200,0.2855,0.0275,0.0198,0.0275
Balanceado_DistintaCov,KNN-21,400,0.2966,0.0251,0.0309,0.0251
Balanceado_DistintaCov,KNN-21,1000,0.2966,0.0209,0.0309,0.0209
Balanceado_DistintaCov,KNN-5,100,0.333,0.0459,0.0673,0.0459
Balanceado_DistintaCov,KNN-5,200,0.3022,0.0405,0.0366,0.0405
Balanceado_DistintaCov,KNN-5,400,0.3159,0.0273,0.0502,0.0273
Balanceado_DistintaCov,KNN-5,1000,0.3204,0.0204,0.0547,0.0204
Balanceado_DistintaCov,LDA,100,0.304,0.0413,0.0383,0.0413
Balanceado_DistintaCov,LDA,200,0.2755,0.0249,0.0098,0.0249
Balanceado_DistintaCov,LDA,400,0.2819,0.0206,0.0162,0.0206
Balanceado_DistintaCov,LDA,1000,0.2862,0.0164,0.0205,0.0164
Balanceado_DistintaCov,QDA,100,0.3065,0.0456,0.0408,0.0456
Balanceado_DistintaCov,QDA,200,0.2832,0.0232,0.0176,0.0232
